EmpDepartment,EmpJobRole,EmpEnvironmentSatisfaction,EmpLastSalaryHikePercent,YearsSinceLastPromotion,ExperienceYearsInCurrentRole,EmpWorkLifeBalance,YearsWithCurrManager,ExperienceYearsAtThisCompany,EmpJobLevel,PerformanceRating
Sales,Sales Executive,4,12,0,7,2,8,10,2,3
Sales,Sales Executive,4,12,1,7,3,7,7,2,3
Sales,Sales Executive,4,21,1,13,3,12,18,3,4
Human Resources,Manager,2,15,12,6,2,6,21,5,3
Sales,Sales Executive,1,14,2,2,3,2,2,2,3
Development,Developer,4,21,1,7,2,7,9,3,4
Sales,Sales Representative,4,15,2,2,3,2,2,1,3
Development,Developer,1,13,3,7,3,7,7,1,3
Development,Developer,1,14,0,7,3,5,8,3,3
Development,Developer,3,14,0,0,4,0,1,3,3
Development,Developer,1,14,1,2,3,4,5,1,3
Sales,Sales Executive,4,12,11,2,2,13,22,4,3
Sales,Sales Executive,3,23,7,7,2,7,8,2,4
Sales,Sales Representative,3,11,0,0,3,0,1,1,3
Development,Developer,3,12,2,2,3,2,2,1,3
Development,Developer,2,11,4,1,3,3,5,2,3
Human Resources,Human Resources,3,15,3,3,1,6,8,2,3
Development,Developer,3,11,1,7,2,1,10,4,3
Development,Developer,4,20,2,2,2,3,4,1,4
Development,Developer,4,19,0,6,1,7,7,2,3
Sales,Sales Representative,4,14,2,2,3,2,2,1,3
Development,Developer,4,17,2,2,3,2,2,2,3
Development,Senior Developer,4,11,0,0,4,0,1,2,3
Development,Developer,1,15,4,8,3,7,10,2,3
Development,Developer,2,14,0,0,3,0,0,2,3
Sales,Manager,3,11,1,6,4,16,34,4,4
Development,Developer,4,13,7,9,2,8,10,1,3
Sales,Sales Executive,3,23,1,5,2,4,6,2,4
Sales,Sales Representative,2,13,3,7,3,1,8,2,3
Development,Developer,1,18,0,2,3,2,2,1,3
Sales,Sales Executive,2,12,1,4,3,3,5,2,3
Sales,Sales Executive,4,22,1,5,3,4,6,2,4
Sales,Sales Executive,1,15,0,7,3,9,10,3,3
Development,Developer,4,18,1,3,3,2,4,1,3
Development,Developer,1,14,2,2,3,0,2,1,3
Development,Developer,2,12,1,7,2,1,8,2,3
Sales,Sales Executive,4,17,1,3,2,2,4,2,3
Development,Developer,2,16,1,2,3,3,4,1,3
Development,Developer,4,11,1,3,3,4,5,2,3
Sales,Sales Executive,3,19,1,2,3,1,4,2,3
Development,Developer,4,13,4,3,2,3,5,1,3
Development,Developer,1,12,4,7,3,12,15,2,3
Development,Developer,3,11,1,5,3,3,6,1,3
Sales,Sales Representative,1,16,0,2,2,2,3,1,3
Development,Developer,3,24,3,7,3,7,8,2,4
Sales,Sales Executive,3,17,1,2,3,2,3,2,3
Development,Senior Developer,3,11,0,0,3,0,1,1,3
Development,Senior Developer,4,20,1,2,3,4,5,2,4
Development,Developer,3,16,0,3,3,3,4,4,3
Development,Developer,2,11,0,0,3,0,1,1,3
Development,Developer,3,11,3,9,4,7,13,3,3
Sales,Sales Executive,1,15,0,2,3,2,3,2,3
Development,Developer,3,11,3,14,2,0,26,4,3
Development,Developer,3,15,0,7,3,5,9,2,3
Development,Senior Developer,3,24,0,7,3,7,10,1,4
Development,Senior Developer,4,13,2,2,3,2,2,1,3
Development,Developer,4,13,0,3,3,2,4,2,3
Development,Developer,3,17,2,2,2,1,2,1,3
Human Resources,Human Resources,3,13,0,2,3,4,5,1,3
Development,Developer,1,14,0,0,3,0,1,2,3
Development,Developer,3,24,0,0,2,0,0,2,4
Development,Developer,2,14,0,0,3,0,1,1,3
Development,Developer,2,13,7,8,2,8,9,2,3
Development,Developer,1,15,1,3,2,2,4,2,3
Sales,Sales Executive,3,18,7,8,4,7,9,3,3
Sales,Sales Executive,3,16,7,7,2,3,9,2,3
Development,Developer,2,24,1,1,3,0,4,4,3
Development,Developer,3,16,0,8,3,8,9,3,3
